#1=α 2=αD 3=σ 4=f 5=dq 6=qh 7=dp 8=dph 9=pd 10=dpdh 11=m 12=mh 
0.072 0.008 sign -99.0 0.09475165928318158 984.8588170765563 0.3933166962868245 0.8901582711654696 83.79630282245452 47.810190515761924 7.960964334907732e-6 7.270829655184574e-5
0.073 0.0081 sign -99.0 0.09466038022610995 973.2418441361507 0.3926502173226224 0.889589244641217 82.84803494762544 47.242595525192684 7.933636891639879e-6 7.251976658262653e-5
0.074 0.0082 sign -99.0 0.09457147424497685 961.8959243870956 0.3919919932518566 0.8890285401144453 81.92262131210909 46.68905937491172 7.921286399935612e-6 7.246605228012707e-5
0.075 0.0083 sign -99.0 0.09448484638685568 950.8117433463615 0.3913417646643648 0.8884758799395172 81.01924065248184 46.14906393911942 7.917990906763422e-6 7.249334675900234e-5
0.076 0.0084 sign -99.0 0.09440040662226926 939.9804067700958 0.39069928468686516 0.8879310002833543 80.13711062755291 45.6221162900338 7.921381013600439e-6 7.258020386249575e-5
0.077 0.0085 sign -99.0 0.09431806953216879 929.393417280637 0.3900643182047 0.8873936502463992 79.27548553839894 45.10774718116347 7.933111315098649e-6 7.274199585850104e-5
0.078 0.0086 sign -99.0 0.09423775400716947 919.0426521223169 0.3894366409036915 0.8868635909830925 78.43365413780086 44.60550963253588 7.850561530076926e-6 7.203729484511516e-5
0.079 0.0087 sign -99.0 0.09415938302118049 908.920344495394 0.38881603956302385 0.8863405952387762 77.61093793892056 44.11497765392994 7.896785380834135e-6 7.251251964985471e-5
0.08 0.0088 sign -99.0 0.0940828833100461 899.0190614444905 0.3882023097678053 0.8858244461572196 76.80668888077913 43.63574497300099 7.867970014759542e-6 7.229739651809804e-5
0.081 0.0089 sign -99.0 0.09400818521551618 889.3316888054255 0.38759525694380437 0.8853149371010379 76.02028808050298 43.167423949319605 7.883947711856e-6 7.249242563707041e-5
0.082 0.009 sign -99.0 0.09393522241266525 879.8514128536289 0.3869946947799333 0.8848118707941295 75.25114393921946 42.70964450206038 7.851145730425982e-6 7.223751663820626e-5
0.083 0.0091 sign -99.0 0.09386393174981487 870.5717053285114 0.3864004452998864 0.8843150588825575 74.4986907926079 42.26205312493322 7.784417113460562e-6 7.166860788537807e-5
0.084 0.0092 sign -99.0 0.09379425306281433 861.4863084393025 0.38581233829423367 0.8838243213730742 73.76238747420426 41.824311959111455 7.804234975868543e-6 7.189502084349302e-5
0.085 0.0093 sign -99.0 0.09372612896301813 852.5892209760357 0.3852302105597348 0.8833394861548287 73.04171594071374 41.39609795768675 7.817045272066596e-6 7.20558891823913e-5
