#1=α 2=αD 3=σ 4=f 5=dq 6=qh 7=dp 8=dph 9=pd 10=dphd 11=m 
0.03 1.0 sign -99.0 3.201836763074351e-7 1.0121507304930757 3.093960057903746e-7 0.6366199609106444 1.0000000118134476 0.6366201539129146 0.9999999905528194
0.031 1.0 sign -99.0 5.393235025099827e-7 1.012556417692157 5.220453889906573e-7 0.636620091209201 1.0000000205972883 0.6366204178537485 0.9999999835647303
0.032 1.0 sign -99.0 8.788634828456816e-7 1.0129623312514489 8.520732805509371e-7 0.6366202938644508 1.0000000347029894 0.6366208285524212 0.999999972367324
0.033 1.0 sign -99.0 1.3897266063753027e-6 1.0133685695850063 1.3493903412490255e-6 0.6366205998554714 1.00000005667504 0.6366214489546245 0.9999999549616678
0.034 1.0 sign -99.0 2.138121827054098e-6 1.0137752617287938 2.078989382243975e-6 0.6366210496028472 1.0000000899647286 0.6366223612453408 0.9999999286425248
0.035 1.0 sign -99.0 3.2081696264699324e-6 1.0141825729371634 3.1235635932819557e-6 0.6366216946300765 1.000000139142795 0.6366236702567031 0.9999998898348349
0.036 1.0 sign -99.0 4.7045336136376814e-6 1.0145907103809528 4.586136625877746e-6 0.6366225992373986 1.0000002101326513 0.6366255069093643 0.9999998339149533
0.037 1.0 sign -99.0 6.754981249716419e-6 1.0149999287881517 6.592627662456768e-6 0.6366238421392579 1.0000003104606592 0.6366280315885415 0.9999997550194291
0.038 1.0 sign -99.0 9.518837175369604e-6 1.0154114804136112 9.316733690564626e-6 0.6366255412558373 1.0000004506231455 0.6366314847341091 0.9999996456066664
0.039 1.0 sign -99.0 1.3167122621779316e-5 1.0158239028438463 1.2900435448570436e-5 0.6366277712056447 1.000000640381028 0.6366360187255099 0.9999994971114895
0.04 1.0 sign -99.0 1.7924248655473995e-5 1.0162394218566275 1.760321090357278e-5 0.6366307153459744 1.0000008962736218 0.6366420079039294 0.9999992981704412
0.041 1.0 sign -99.0 2.4016420016719252e-5 1.0166567798600064 2.3605354251750698e-5 0.6366344631814587 1.000001231935648 0.6366496354497349 0.9999990365585731
0.042 1.0 sign -99.0 3.1739017981904664e-5 1.0170783262512106 3.1258048631852964e-5 0.6366392687347158 1.0000016711835544 0.6366594207226842 0.9999986962524199
0.043 1.0 sign -99.0 4.1376489092940056e-5 1.0175029333158754 4.077621500858066e-5 0.6366452293726785 1.0000022320069972 0.6366715635588198 0.9999982606761554
0.044 1.0 sign -99.0 5.330091432837581e-5 1.0179331531747526 5.261540843545118e-5 0.6366526827446958 1.0000029471770546 0.6366867553179287 0.9999977082488106
