#1=α 2=αD 3=σ 4=f 5=dq 6=qh 7=dp 8=dph 9=pd 10=dpdh 11=m 12=mh 
0.276 0.01 sign -99.0 0.00011137510381384948 76.0519721104528 0.00011138041095928637 0.6366904870485098 100.97890791528872 41.16114775928525 0.9998745910259478 17.570607510348243
0.275 0.01 sign -99.0 0.00011421821526077546 76.0157336909592 0.00011422818742207178 0.6366922939492788 100.97837209283544 41.16104822585827 0.9998714721048636 17.506941438825756
0.274 0.01 sign -99.0 0.0001171382838760765 75.97959071573419 0.0001171532679047623 0.636694149849155 100.97782183571371 41.1609460321093 0.999868270706931 17.44327530437339
0.273 0.01 sign -99.0 0.00012013752314638397 75.94354544321762 0.00012015788680399059 0.6366960561621056 100.97725673046892 41.16084110250027 0.9998649845058108 17.37960910613421
0.272 0.01 sign -99.0 0.00012321821445800384 75.90760018928718 0.00012324434761104469 0.6366980143457122 100.97667635099855 41.16073335920384 0.9998616111048098 17.315942843243285
0.271 0.01 sign -99.0 0.0001263827093290926 75.87175732885407 0.00012641502521199973 0.6367000259026174 100.97608025813605 41.160622722029004 0.9998581480345807 17.25227651482773
0.27 0.01 sign -99.0 0.0001296334317208865 75.83601929750739 0.0001296723682708282 0.636702092382024 100.97546799922063 41.160509108343774 0.9998545927507452 17.188610120006786
0.269 0.01 sign -99.0 0.00013297288043104074 75.80038859321039 0.00013301890169878055 0.6367042153812451 100.97483910765145 41.160392432995465 0.9998509426314305 17.124943657891812
0.268 0.01 sign -99.0 0.00013640363157220843 75.76486777804904 0.00013645722921341616 0.6367063965473155 100.97419310242583 41.160272608227956 0.9998471949747174 17.061277127586393
0.267 0.01 sign -99.0 0.0001399394664352013 75.72949717579155 0.00014001834985252187 0.6367086643254651 100.97352338748189 41.16014705476821 0.999843333794695 16.997595274666747
0.266 0.01 sign -99.0 0.00014356125079166294 75.69420556657525 0.0001436495049309437 0.6367109682311739 100.97284141373243 41.160020524531504 0.9998393821815597 16.93392861489024
0.265 0.01 sign -99.0 0.0001472825068701948 75.65903159113105 0.0001473804867749047 0.6367133350798074 100.97214085416755 41.15989062561471 0.99983532447648 16.870261887319828
0.264 0.01 sign -99.0 0.00015110620587415407 75.62397845895218 0.00015121454337793465 0.6367157672339717 100.971421098158 41.15975719690839 0.999831157559796 16.80659508786393
0.263 0.01 sign -99.0 0.00015503535135155596 75.58904908240396 0.00015515471656991298 0.6367182666201553 100.97068158465613 41.15962013569184 0.9998268782872181 16.74292821593464
0.262 0.01 sign -99.0 0.00015907304092643797 75.55424644903562 0.0001592041429774209 0.6367208352217026 100.96992173539809 41.15947933660832 0.999822483417158 16.679261270601017
0.261 0.01 sign -99.0 0.00016322246958479252 75.51957362444388 0.00016336605880499147 0.6367234750847162 100.96914095397756 41.15933469102982 0.9998179696073262 16.615594250922275
0.26 0.01 sign -99.0 0.00016748693296535677 75.48503375450835 0.00016764380325599677 0.6367261883202199 100.96833862523133 41.15918608694485 0.9998133334113403 16.551927155950597
0.259 0.01 sign -99.0 0.0001718698307720886 75.45063006771116 0.0001720408220799087 0.6367289771063833 100.96751411460228 41.1590334088448 0.999808571275205 16.4882599847312
0.258 0.01 sign -99.0 0.00017637467031185762 75.41636587753115 0.0001765606712527485 0.6367318436908314 100.966666767479 41.15887653760582 0.9998036795336618 16.424592736302454
0.257 0.01 sign -99.0 0.0001810050701623638 75.38224458491732 0.0001812070207961849 0.6367347903930399 100.965795908511 41.15871535036676 0.9997986544064054 16.36092540969597
0.256 0.01 sign -99.0 0.00018576476397547071 75.34826968084246 0.00018598365874098824 0.6367378196068199 100.96490084089822 41.15854972040226 0.9997934919941553 16.297258003936648
0.255 0.01 sign -99.0 0.00019065760442141263 75.31444474894175 0.00019089449524084163 0.6367409338028972 100.9639808456543 41.15837951699138 0.9997881882745839 16.233590518042828
0.254 0.01 sign -99.0 0.00019568756727954877 75.28077346823834 0.0001959435668427705 0.6367441355315899 100.96303518084227 41.15820460528125 0.9997827390980902 16.169922951026344
